trace_id,log
3444ff98-3df2-42da-856c-d025ba8ba483,System resources exhausted: CPU at 95%.
3444ff98-3df2-42da-856c-d025ba8ba483,Patch deployment in progress - system running in degraded mode.
3444ff98-3df2-42da-856c-d025ba8ba483,"Request received by gateway, processing started."
0172220e-317e-461e-a0ba-6016ff73e29b,Retrying the request due to transient error.
0172220e-317e-461e-a0ba-6016ff73e29b,Malformed JSON received in response payload.
0172220e-317e-461e-a0ba-6016ff73e29b,Patch deployment in progress - system running in degraded mode.
3ac7a61d-52c5-47ce-a130-f9603bd7a100,Timeout occurred while waiting for response.
3ac7a61d-52c5-47ce-a130-f9603bd7a100,Trace completed with status code 500.
3ac7a61d-52c5-47ce-a130-f9603bd7a100,Malformed JSON received in response payload.
15f3c88f-89b6-468b-a02c-678d3405f045,Retrying the request due to transient error.
15f3c88f-89b6-468b-a02c-678d3405f045,SGA encountered a technical error at stage 2.
15f3c88f-89b6-468b-a02c-678d3405f045,Request forwarded to backend service.
b1351c0f-40ef-4698-a757-ab2a8fc7ce84,Error: Authentication token expired.
b1351c0f-40ef-4698-a757-ab2a8fc7ce84,Patch deployment in progress - system running in degraded mode.
b1351c0f-40ef-4698-a757-ab2a8fc7ce84,Request forwarded to backend service.
b1351c0f-40ef-4698-a757-ab2a8fc7ce84,Timeout occurred while waiting for response.
16112d1a-f1dd-47c0-9c2b-4d0cf189f0ae,Request forwarded to backend service.
16112d1a-f1dd-47c0-9c2b-4d0cf189f0ae,Retrying the request due to transient error.
16112d1a-f1dd-47c0-9c2b-4d0cf189f0ae,"Request received by gateway, processing started."
16112d1a-f1dd-47c0-9c2b-4d0cf189f0ae,Validation failed due to missing headers.
78deb577-30aa-456e-baf7-874e9a58eaab,Request forwarded to backend service.
78deb577-30aa-456e-baf7-874e9a58eaab,Trace completed with status code 500.
78deb577-30aa-456e-baf7-874e9a58eaab,"Request received by gateway, processing started."
78deb577-30aa-456e-baf7-874e9a58eaab,Patch deployment in progress - system running in degraded mode.
3b1544f7-2961-4a53-b661-7f34a38de19c,Retrying the request due to transient error.
3b1544f7-2961-4a53-b661-7f34a38de19c,"Request received by gateway, processing started."
54ce02a3-fa14-4c66-bd4f-e164ce1972bb,Timeout occurred while waiting for response.
54ce02a3-fa14-4c66-bd4f-e164ce1972bb,Retrying the request due to transient error.
54ce02a3-fa14-4c66-bd4f-e164ce1972bb,Error: Authentication token expired.
54ce02a3-fa14-4c66-bd4f-e164ce1972bb,"Request received by gateway, processing started."
54ce02a3-fa14-4c66-bd4f-e164ce1972bb,Trace completed with status code 500.
0d6c84fc-c9be-43d0-96bd-05cdd0339737,"Request received by gateway, processing started."
0d6c84fc-c9be-43d0-96bd-05cdd0339737,SGA encountered a technical error at stage 2.
2d990d74-7bda-4cc7-b9ce-e90a33e31a5a,Validation failed due to missing headers.
2d990d74-7bda-4cc7-b9ce-e90a33e31a5a,Patch deployment in progress - system running in degraded mode.
2d990d74-7bda-4cc7-b9ce-e90a33e31a5a,Timeout occurred while waiting for response.
2d990d74-7bda-4cc7-b9ce-e90a33e31a5a,Trace completed with status code 500.
e1be253b-dfbb-442f-82b5-0b9c64fd51b6,Malformed JSON received in response payload.
e1be253b-dfbb-442f-82b5-0b9c64fd51b6,Timeout occurred while waiting for response.
e1be253b-dfbb-442f-82b5-0b9c64fd51b6,"Request received by gateway, processing started."
52422ef4-f7a3-4cf3-ad27-c1f7d07fd6b2,Request forwarded to backend service.
52422ef4-f7a3-4cf3-ad27-c1f7d07fd6b2,Validation failed due to missing headers.
52422ef4-f7a3-4cf3-ad27-c1f7d07fd6b2,Retrying the request due to transient error.
52422ef4-f7a3-4cf3-ad27-c1f7d07fd6b2,Malformed JSON received in response payload.
746c6fba-71f8-4689-a4cf-bc09430c27c2,Timeout occurred while waiting for response.
