,incident_id,description,category,urgency,status,ci_id,cr_number,resolution,tags,incident_date,cause,app,app_name,trace_id
0,INC10000,Application not responding,Network,High,Open,"DB103,DB101",CRQ968525,Issue resolved after thorough analysis and corrective action taken.,"db, auth, dns",2025-03-14,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,3444ff98-3df2-42da-856c-d025ba8ba483
1,INC10001,Packet loss observed,Database,Low,In Progress,,,Issue resolved after thorough analysis and corrective action taken.,"dns, firewall, crash",2025-02-28,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
2,INC10002,Packet loss observed,Performance,Low,Open,"FW003,FW001,FW002",CRQ955468,Issue resolved after thorough analysis and corrective action taken.,"auth, router, latency",2025-02-24,Incident caused due to a recent change implementation which led to system instability.,EFG,Enterprise Firewall Group,0172220e-317e-461e-a0ba-6016ff73e29b
3,INC10003,Packet loss observed,Database,High,Resolved,,,Configuration corrected and validated with relevant teams before restoration.,"crash, timeout, auth",2025-03-05,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,3ac7a61d-52c5-47ce-a130-f9603bd7a100
4,INC10004,Database connection issues,Authentication,Medium,Resolved,"DB102,DB103,DB101",CRQ940043,Resolved by restarting the impacted services and monitoring the system for stability.,"timeout, auth, crash",2025-02-28,Incident caused due to a recent change implementation which led to system instability.,DBG,Database Group,
5,INC10005,Application not responding,Database,Medium,Open,,,Issue resolved after thorough analysis and corrective action taken.,"auth, latency, crash",2025-03-21,Generic operational issue requiring investigation.,NOG,Network Operations Group,15f3c88f-89b6-468b-a02c-678d3405f045
6,INC10006,Service timeout in EU region,Network,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"router, auth, db",2025-02-21,Generic operational issue requiring investigation.,DBG,Database Group,
7,INC10007,Packet loss observed,Authentication,Low,Resolved,,,Issue resolved after thorough analysis and corrective action taken.,"latency, db, router",2025-02-21,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
8,INC10008,Database connection issues,Network,High,Open,,,Issue resolved after thorough analysis and corrective action taken.,"auth, timeout, firewall",2025-03-15,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
9,INC10009,Packet loss observed,Network,High,Open,,,Resolved by restarting the impacted services and monitoring the system for stability.,"latency, router, auth",2025-03-19,Generic operational issue requiring investigation.,EFG,Enterprise Firewall Group,
