incident_id,description,category,urgency,status,ci_id,cr_number,resolution,tags,incident_date,cause
INC10000,Application not responding,Network,High,Open,CI-E864E104,CRQ968525,Cleared DNS cache,"db, auth, dns",2025-03-14,Change
INC10001,Packet loss observed,Database,Low,In Progress,CI-F1197441,CRQ935986,Updated routing table,"dns, firewall, crash",2025-02-28,Network Glitch
INC10002,Packet loss observed,Performance,Low,Open,CI-80DBA4BB,CRQ955468,Increased heap size,"auth, router, latency",2025-02-24,Change
INC10003,Packet loss observed,Database,High,Resolved,CI-D5746A4A,CRQ998230,Reconfigured firewall rules,"crash, timeout, auth",2025-03-05,Manual Error
INC10004,Database connection issues,Authentication,Medium,Resolved,CI-F1197441,CRQ940043,Restarted service,"timeout, auth, crash",2025-02-28,Change
INC10005,Application not responding,Database,Medium,Open,CI-78D7E4EB,CRQ929539,Increased heap size,"auth, latency, crash",2025-03-21,Network Glitch
INC10006,Service timeout in EU region,Network,Low,Resolved,CI-16880A9A,CRQ975363,Updated routing table,"router, auth, db",2025-02-21,Manual Error
INC10007,Packet loss observed,Authentication,Low,Resolved,CI-EA57CD70,CRQ936869,Whitelisted IP range,"latency, db, router",2025-02-21,Unknown
INC10008,Database connection issues,Network,High,Open,CI-1BF32CB7,CRQ913663,Cleared DNS cache,"auth, timeout, firewall",2025-03-15,Infra Issue
INC10009,Packet loss observed,Network,High,Open,CI-F4AB59BA,CRQ951762,Restarted service,"latency, router, auth",2025-03-19,Infra Issue
INC10010,Service timeout in EU region,Network,Low,In Progress,CI-403106D9,CRQ956589,Whitelisted IP range,"dns, latency, crash",2025-02-28,Unknown
INC10011,Application not responding,Performance,Medium,In Progress,CI-8BE00422,CRQ934264,,"crash, router, latency",2025-03-07,Infra Issue
INC10012,Unable to access service,Performance,High,Resolved,CI-F33AA9C4,CRQ945744,Reconfigured firewall rules,"db, dns, latency",2025-02-28,Unknown
INC10013,Application not responding,Authentication,Low,Resolved,CI-6FD9D455,CRQ920549,Reconfigured firewall rules,"router, latency, firewall",2025-02-26,Infra Issue
INC10014,High latency in application,Authentication,Medium,In Progress,CI-2D91E268,CRQ937023,,"timeout, db, latency",2025-03-08,Change
INC10015,Packet loss observed,Network,Low,Open,CI-DE8D4597,CRQ981655,Restarted service,"timeout, db, auth",2025-03-13,Unknown
INC10016,Authentication failed for multiple users,Database,Low,In Progress,CI-2FDE67B6,CRQ900820,Updated routing table,"dns, db, auth",2025-02-23,Change
INC10017,Packet loss observed,Network,High,Open,CI-1E16354D,CRQ968001,Cleared DNS cache,"timeout, firewall, dns",2025-02-24,Change
INC10018,Service timeout in EU region,Connectivity,Low,Resolved,CI-2FDE67B6,CRQ900281,Updated routing table,"timeout, router, auth",2025-03-08,Network Glitch
INC10019,Firewall blocking outgoing traffic,Network,Medium,Resolved,CI-80DBA4BB,CRQ955733,Updated routing table,"dns, latency, router",2025-03-12,Change
INC10020,DNS lookup failed,Database,Low,Open,CI-13823F6F,CRQ980083,Updated routing table,"auth, db, dns",2025-03-03,Manual Error
INC10021,Unable to access service,Authentication,Low,In Progress,CI-53B556DA,CRQ938590,Updated routing table,"db, timeout, firewall",2025-02-19,Change
INC10022,Authentication failed for multiple users,Performance,Low,Open,CI-41F7A6BB,CRQ975363,Restarted service,"crash, firewall, router",2025-02-19,Unknown
INC10023,Unable to access service,Network,Low,Resolved,CI-13823F6F,CRQ956589,Updated routing table,"db, dns, router",2025-02-24,Change
INC10024,System rebooted unexpectedly,Network,Low,In Progress,CI-F081C3E2,CRQ954291,Whitelisted IP range,"timeout, auth, crash",2025-03-19,Change
INC10025,Authentication failed for multiple users,Authentication,High,Resolved,CI-E7221F06,CRQ973827,Whitelisted IP range,"dns, auth, crash",2025-03-19,Manual Error
INC10026,Firewall blocking outgoing traffic,Network,High,Open,CI-619B8270,CRQ935986,Whitelisted IP range,"auth, dns, timeout",2025-03-13,Unknown
INC10027,Unable to access service,Authentication,High,In Progress,CI-5CBCAC88,CRQ981616,,"latency, crash, dns",2025-02-24,Change
